Zip, Total Population ,Percent Males
14839-0000,"1,869,724",34
65001-0000,"1,869,767",96
23160-0000,"1,869,769",38
23291-0000,"1,869,773",36
11518-0000,"1,869,776",48
15027-0000,"1,869,798",72
27030-0000,"1,869,858",79
18619-0000,"1,869,903",57
61517-0000,"1,869,932",46
39897-0000,"1,869,954",66
21106-0000,"1,870,038",37
77444-0000,"1,870,065",60
93784-0000,"1,870,123",76
28906-0000,"1,870,134",58
4732-0000,"1,870,167",9
98278-0000,"1,870,176",94
36633-0000,"1,870,186",16
48651-0000,"1,870,186",7
36551-0000,"1,870,325",38
33663-0000,"1,870,346",51
19044-0000,"1,870,350",18
38157-0000,"1,870,368",6
99353-0000,"1,870,419",83
25817-0000,"1,870,426",46
73547-0000,"1,870,455",63
18960-0000,"1,870,517",22
42374-0000,"1,870,531",70
59451-0000,"1,870,550",85
7751-0000,"1,870,561",74
61749-0000,"1,870,567",46
31036-0000,"1,870,606",84
41397-0000,"1,870,686",20
19443-0000,"1,870,761",23
22015-0000,"1,870,922",7
99157-0000,"1,870,975",29
92143-0000,"1,871,004",97
61284-0000,"1,871,043",82
14083-0000,"1,871,090",70
44401-0000,"1,871,159",34
25705-0000,"1,871,243",20
74829-0000,"1,871,280",75
16671-0000,"1,871,309",94
50261-0000,"1,871,364",95
67154-0000,"1,871,382",43
27698-0000,"1,871,412",3
76520-0000,"1,871,485",64
62446-0000,"1,871,511",4
62067-0000,"1,871,525",91
38476-0000,"1,871,533",19
63034-0000,"1,871,616",1
44617-0000,"1,871,635",34
67357-0000,"1,871,661",32
29446-0000,"1,871,662",16
95677-0000,"1,871,740",98
70733-0000,"1,871,804",38
20794-0000,"1,871,852",72
74077-0000,"1,871,857",2
98536-0000,"1,871,878",98
36611-0000,"1,871,914",22
50545-0000,"1,871,940",92
73539-0000,"1,872,015",56
38751-0000,"1,872,115",1
63936-0000,"1,872,143",13
4420-0000,"1,872,166",46
73153-0000,"1,872,185",3
63105-0000,"1,872,247",46
60657-0000,"1,872,292",76
92861-0000,"1,872,315",96
48161-0000,"1,872,340",74
65770-0000,"1,872,374",50
62028-0000,"1,872,387",44
91221-0000,"1,872,444",59
44730-0000,"1,872,563",27
23261-0000,"1,872,614",36
28370-0000,"1,872,715",65
57434-0000,"1,872,732",74
98171-0000,"1,872,752",82
29401-0000,"1,872,762",85
22840-0000,"1,872,763",13
55449-0000,"1,872,787",99
87015-0000,"1,872,798",85
40209-0000,"1,872,834",29
77489-0000,"1,872,932",81
78522-0000,"1,873,114",34
10514-0000,"1,873,123",85
81055-0000,"1,873,133",98
65532-0000,"1,873,231",25
87413-0000,"1,873,239",48
61454-0000,"1,873,271",71
28626-0000,"1,873,277",69
3440-0000,"1,873,383",68
81332-0000,"1,873,436",87
98639-0000,"1,873,440",98
64190-0000,"1,873,459",45
97367-0000,"1,873,484",65
48015-0000,"1,873,508",22
18912-0000,"1,873,542",12
7999-0000,"1,873,552",76
4553-0000,"1,873,576",89
43612-0000,"1,873,595",57
31510-0000,"1,873,616",6
41425-0000,"1,873,637",25
32445-0000,"1,873,786",55
57552-0000,"1,873,787",83
97447-0000,"1,873,811",8
61775-0000,"1,873,816",58
56376-0000,"1,873,817",82
50336-0000,"1,873,882",63
95867-0000,"1,873,934",52
95947-0000,"1,873,954",2
20903-0000,"1,874,058",83
2482-0000,"1,874,067",96
71674-0000,"1,874,130",51
95936-0000,"1,874,154",70
28215-0000,"1,874,205",27
47880-0000,"1,874,296",53
10179-0000,"1,874,297",39
86406-0000,"1,874,399",55
23483-0000,"1,874,422",40
92413-0000,"1,874,431",22
78162-0000,"1,874,452",40
87532-0000,"1,874,458",83
24228-0000,"1,874,505",60
89301-0000,"1,874,516",29
40488-0000,"1,874,539",2
14223-0000,"1,874,599",48
31097-0000,"1,874,609",83
88040-0000,"1,874,615",38
37831-0000,"1,874,652",46
48469-0000,"1,874,800",29
63099-0000,"1,874,849",21
39359-0000,"1,874,891",91
80022-0000,"1,874,909",10
89183-0000,"1,874,951",26
50112-0000,"1,875,043",70
68818-0000,"1,875,120",7
94139-0000,"1,875,170",88
54469-0000,"1,875,268",100
97202-0000,"1,875,307",87
73716-0000,"1,875,322",30
1119-0000,"1,875,329",1
84071-0000,"1,875,369",48
91328-0000,"1,875,415",32
51453-0000,"1,875,422",48
82710-0000,"1,875,436",78
47404-0000,"1,875,453",43
21840-0000,"1,875,489",54
15208-0000,"1,875,779",38
92630-0000,"1,875,786",89
53777-0000,"1,875,825",79
67657-0000,"1,875,842",24
16103-0000,"1,875,878",51
28083-0000,"1,875,880",92
33256-0000,"1,875,898",34
73501-0000,"1,876,034",10
6516-0000,"1,876,041",26
27025-0000,"1,876,156",85
27208-0000,"1,876,176",48
57564-0000,"1,876,185",66
16508-0000,"1,876,234",52
57368-0000,"1,876,304",13
77479-0000,"1,876,380",64
28070-0000,"1,876,451",69
49233-0000,"1,876,451",81
98022-0000,"1,876,470",23
76094-0000,"1,876,482",90
57779-0000,"1,876,624",32
53811-0000,"1,876,631",60
70159-0000,"1,876,748",53
20023-0000,"1,876,849",66
70460-0000,"1,876,860",14
72013-0000,"1,876,912",6
90401-0000,"1,876,925",44
91303-0000,"1,876,970",30
54226-0000,"1,876,982",21
99706-0000,"1,877,013",57
24739-0000,"1,877,054",35
46524-0000,"1,877,081",8
47666-0000,"1,877,087",14
77541-0000,"1,877,191",62
67235-0000,"1,877,195",58
57117-0000,"1,877,220",2
20623-0000,"1,877,303",88
79758-0000,"1,877,372",20
38935-0000,"1,877,456",80
20899-0000,"1,877,477",91
81230-0000,"1,877,491",99
29901-0000,"1,877,498",35
57269-0000,"1,877,517",55
95961-0000,"1,877,530",12
66739-0000,"1,877,533",24
39741-0000,"1,877,707",25
29634-0000,"1,877,709",91
32323-0000,"1,877,735",19
44802-0000,"1,877,811",12
55484-0000,"1,877,838",75
80124-0000,"1,877,869",27
94801-0000,"1,877,962",73
48068-0000,"1,877,979",51
24354-0000,"1,878,060",45
18435-0000,"1,878,111",11
79748-0000,"1,878,118",40
15340-0000,"1,878,184",81
96020-0000,"1,878,265",71
12817-0000,"1,878,282",60
24218-0000,"1,878,385",5
53813-0000,"1,878,386",7
15146-0000,"1,878,505",56
23090-0000,"1,878,520",82
5362-0000,"1,878,567",48
8605-0000,"1,878,623",48
27823-0000,"1,878,628",82
38377-0000,"1,878,726",34
95720-0000,"1,878,748",95
31810-0000,"1,878,828",29
7765-0000,"1,878,911",12
21051-0000,"1,878,950",86
43529-0000,"1,878,986",16
31119-0000,"1,878,988",25
99723-0000,"1,879,230",52
15946-0000,"1,879,248",31
60933-0000,"1,879,263",59
28753-0000,"1,879,286",56
47390-0000,"1,879,314",84
1242-0000,"1,879,352",54
77616-0000,"1,879,382",28
98266-0000,"1,879,406",53
44144-0000,"1,879,447",96
55736-0000,"1,879,462",48
65348-0000,"1,879,615",2
74636-0000,"1,879,650",96
44307-0000,"1,879,679",40
24067-0000,"1,879,710",61
68739-0000,"1,879,781",42
33304-0000,"1,879,801",51
56529-0000,"1,879,820",35
46513-0000,"1,879,853",91
91202-0000,"1,879,874",93
7309-0000,"1,879,918",63
16242-0000,"1,880,064",41
22311-0000,"1,880,072",1
38471-0000,"1,880,108",41
30516-0000,"1,880,119",9
83810-0000,"1,880,206",42
13061-0000,"1,880,257",31
79378-0000,"1,880,257",30
29832-0000,"1,880,291",67
39215-0000,"1,880,304",72
51561-0000,"1,880,411",91
24558-0000,"1,880,421",80
39667-0000,"1,880,428",91
12588-0000,"1,880,448",40
22851-0000,"1,880,450",41
47120-0000,"1,880,466",21
27417-0000,"1,880,475",22
6226-0000,"1,880,478",76
16839-0000,"1,880,486",9
16668-0000,"1,880,548",94
40743-0000,"1,880,576",37
43006-0000,"1,880,599",51
33741-0000,"1,880,705",31
81122-0000,"1,880,715",31
48667-0000,"1,880,716",22
50322-0000,"1,880,817",52
55442-0000,"1,880,896",10
61877-0000,"1,880,928",37
28352-0000,"1,881,121",32
99585-0000,"1,881,137",34
88004-0000,"1,881,154",51
97007-0000,"1,881,154",90
75123-0000,"1,881,284",8
77612-0000,"1,881,293",89
15501-0000,"1,881,294",87
78612-0000,"1,881,323",55
32230-0000,"1,881,341",82
22827-0000,"1,881,429",28
6474-0000,"1,881,457",77
68771-0000,"1,881,574",11
25356-0000,"1,881,588",41
72215-0000,"1,881,748",36
43821-0000,"1,881,770",2
74110-0000,"1,881,784",61
31789-0000,"1,881,840",26
51523-0000,"1,881,900",54
67207-0000,"1,881,906",58
74352-0000,"1,881,911",80
68015-0000,"1,881,928",34
68108-0000,"1,881,935",43
60433-0000,"1,881,956",29
20395-0000,"1,881,960",11
59911-0000,"1,882,187",72
49815-0000,"1,882,201",1
85065-0000,"1,882,230",85
70755-0000,"1,882,299",20
16054-0000,"1,882,372",3
71602-0000,"1,882,430",11
94706-0000,"1,882,460",54
58374-0000,"1,882,488",81
29526-0000,"1,882,512",38
49635-0000,"1,882,664",59
23397-0000,"1,882,776",36
77278-0000,"1,882,865",61
7094-0000,"1,882,877",94
76874-0000,"1,882,878",83
65616-0000,"1,882,892",36
85205-0000,"1,882,898",22
88135-0000,"1,883,031",13
47358-0000,"1,883,090",14
33777-0000,"1,883,096",7
10307-0000,"1,883,145",89
48756-0000,"1,883,174",26
43464-0000,"1,883,278",60
50040-0000,"1,883,289",60
99521-0000,"1,883,397",16
62298-0000,"1,883,412",51
45783-0000,"1,883,432",21
53947-0000,"1,883,449",74
56563-0000,"1,883,467",34
3305-0000,"1,883,554",85
20601-0000,"1,883,559",21
48507-0000,"1,883,565",3
49061-0000,"1,883,724",28
23308-0000,"1,883,805",78
75053-0000,"1,883,918",96
30537-0000,"1,883,921",68
91107-0000,"1,883,929",30
22701-0000,"1,884,041",1
8514-0000,"1,884,129",32
56352-0000,"1,884,167",70
37705-0000,"1,884,213",6
5544-0000,"1,884,311",47
5141-0000,"1,884,396",30
31537-0000,"1,884,409",49
87571-0000,"1,884,414",94
76123-0000,"1,884,430",9
41564-0000,"1,884,467",65
54655-0000,"1,884,514",76
36360-0000,"1,884,515",72
83271-0000,"1,884,528",27
38361-0000,"1,884,609",12
38106-0000,"1,884,649",89
62764-0000,"1,884,688",42
79530-0000,"1,884,703",28
6331-0000,"1,884,765",29
80135-0000,"1,884,809",66
68172-0000,"1,884,817",57
90707-0000,"1,884,923",76
79834-0000,"1,884,975",10
16127-0000,"1,884,998",73
79821-0000,"1,885,033",8
35563-0000,"1,885,117",98
58269-0000,"1,885,211",65
52333-0000,"1,885,344",63
6382-0000,"1,885,379",19
56586-0000,"1,885,457",30
58030-0000,"1,885,469",73
33880-0000,"1,885,471",92
42350-0000,"1,885,496",83
85349-0000,"1,885,514",96
55309-0000,"1,885,552",39
80454-0000,"1,885,640",91
58402-0000,"1,885,725",71
13076-0000,"1,885,737",14
32606-0000,"1,885,771",40
64640-0000,"1,885,878",10
48630-0000,"1,885,899",9
17801-0000,"1,886,060",42
19474-0000,"1,886,129",88
6265-0000,"1,886,266",55
63931-0000,"1,886,326",86
5757-0000,"1,886,341",28
93383-0000,"1,886,341",2
55128-0000,"1,886,360",13
90241-0000,"1,886,388",89
28231-0000,"1,886,401",99
12473-0000,"1,886,555",21
75252-0000,"1,886,555",62
56657-0000,"1,886,575",83
62525-0000,"1,886,610",3
46932-0000,"1,886,613",57
15205-0000,"1,886,624",33
77037-0000,"1,886,660",10
30576-0000,"1,886,810",60
86046-0000,"1,886,816",67
43335-0000,"1,886,838",81
54403-0000,"1,886,845",87
40311-0000,"1,886,852",26
29920-0000,"1,886,886",46
35011-0000,"1,886,947",2
19543-0000,"1,887,045",3
70003-0000,"1,887,097",83
32207-0000,"1,887,161",18
62711-0000,"1,887,170",86
43914-0000,"1,887,194",34
77843-0000,"1,887,250",84
57235-0000,"1,887,304",75
32948-0000,"1,887,348",54
99403-0000,"1,887,433",34
44878-0000,"1,887,447",36
98422-0000,"1,887,599",35
96731-0000,"1,887,674",66
72957-0000,"1,887,677",93
51006-0000,"1,887,727",22
95653-0000,"1,887,930",25
92191-0000,"1,887,949",71
91759-0000,"1,887,978",19
67485-0000,"1,888,012",94
78763-0000,"1,888,013",74
12069-0000,"1,888,126",89
12548-0000,"1,888,152",90
23958-0000,"1,888,181",72
28757-0000,"1,888,189",6
93901-0000,"1,888,235",51
22246-0000,"1,888,245",24
95925-0000,"1,888,330",57
72002-0000,"1,888,342",21
28442-0000,"1,888,345",74
70390-0000,"1,888,365",26
53820-0000,"1,888,384",82
45157-0000,"1,888,538",98
50246-0000,"1,888,548",42
99789-0000,"1,888,566",83
99632-0000,"1,888,567",3
46921-0000,"1,888,621",4
56357-0000,"1,888,650",64
4951-0000,"1,888,690",49
98008-0000,"1,888,694",11
33952-0000,"1,888,713",70
56279-0000,"1,888,718",39
97524-0000,"1,888,811",51
74430-0000,"1,888,856",41
36525-0000,"1,888,881",8
14815-0000,"1,888,930",45
29319-0000,"1,888,957",22
60153-0000,"1,889,016",17
25530-0000,"1,889,019",5
57767-0000,"1,889,104",19
16603-0000,"1,889,322",92
71853-0000,"1,889,332",58
89448-0000,"1,889,339",15
54893-0000,"1,889,382",93
6373-0000,"1,889,510",7
93730-0000,"1,889,544",56
51350-0000,"1,889,555",4
97385-0000,"1,889,574",21
67831-0000,"1,889,607",74
1471-0000,"1,889,690",31
18086-0000,"1,889,722",10
29583-0000,"1,889,726",61
67456-0000,"1,889,733",86
63965-0000,"1,889,807",41
72199-0000,"1,889,815",36
47126-0000,"1,889,839",90
75858-0000,"1,889,859",35
28160-0000,"1,889,864",71
80427-0000,"1,889,899",36
47521-0000,"1,889,903",1
48610-0000,"1,890,034",62
85365-0000,"1,890,041",51
62045-0000,"1,890,060",88
73019-0000,"1,890,178",62
61010-0000,"1,890,207",24
57764-0000,"1,890,254",87
13436-0000,"1,890,267",38
35587-0000,"1,890,280",75
23242-0000,"1,890,313",71
76136-0000,"1,890,376",65
37871-0000,"1,890,450",89
39296-0000,"1,890,646",30
55362-0000,"1,890,782",15
13108-0000,"1,890,807",53
53512-0000,"1,890,819",53
39074-0000,"1,890,880",6
95531-0000,"1,890,917",44
80274-0000,"1,890,951",11
4049-0000,"1,891,115",62
24279-0000,"1,891,133",95
21673-0000,"1,891,205",60
87933-0000,"1,891,302",16
61815-0000,"1,891,351",88
66251-0000,"1,891,356",92
47613-0000,"1,891,391",18
45724-0000,"1,891,530",84
31550-0000,"1,891,541",13
99215-0000,"1,891,554",82
28106-0000,"1,891,575",41
98589-0000,"1,891,630",17
39574-0000,"1,891,638",16
97454-0000,"1,891,724",30
15310-0000,"1,891,821",86
4785-0000,"1,891,858",14
40359-0000,"1,891,864",33
62329-0000,"1,891,882",46
26761-0000,"1,891,892",33
52209-0000,"1,891,992",27
1607-0000,"1,892,018",5
83701-0000,"1,892,024",70
44555-0000,"1,892,142",48
31512-0000,"1,892,189",82
57015-0000,"1,892,250",76
68855-0000,"1,892,258",41
14824-0000,"1,892,260",86
44666-0000,"1,892,364",99
48179-0000,"1,892,486",84
51030-0000,"1,892,584",36
57534-0000,"1,892,649",90
72064-0000,"1,892,665",54
93420-0000,"1,892,675",82
15066-0000,"1,892,681",79
44851-0000,"1,892,856",26
83420-0000,"1,892,927",12
29829-0000,"1,892,938",13
78504-0000,"1,893,028",63
66439-0000,"1,893,075",46
52202-0000,"1,893,086",53
27356-0000,"1,893,161",3
62943-0000,"1,893,218",32
29058-0000,"1,893,355",28
14627-0000,"1,893,402",95
2557-0000,"1,893,443",23
45698-0000,"1,893,519",20
15733-0000,"1,893,571",47
7920-0000,"1,893,601",44
12752-0000,"1,893,645",40
75077-0000,"1,893,693",13
17087-0000,"1,893,895",34
59260-0000,"1,893,935",92
91359-0000,"1,894,031",25
43076-0000,"1,894,039",79
68715-0000,"1,894,097",84
54471-0000,"1,894,119",61
62854-0000,"1,894,212",65
6041-0000,"1,894,222",64
33542-0000,"1,894,254",82
12177-0000,"1,894,297",33
22553-0000,"1,894,371",16
52410-0000,"1,894,383",11
95459-0000,"1,894,422",55
85085-0000,"1,894,440",2
78142-0000,"1,894,459",85
32534-0000,"1,894,473",93
72121-0000,"1,894,473",62
45317-0000,"1,894,486",100
54149-0000,"1,894,486",34
61281-0000,"1,894,545",26
5352-0000,"1,894,548",88
84531-0000,"1,894,613",96
40823-0000,"1,894,758",71
40162-0000,"1,894,810",59
48655-0000,"1,894,831",70
34667-0000,"1,894,834",92
3048-0000,"1,894,866",57
82730-0000,"1,894,921",66
81141-0000,"1,895,108",99
76711-0000,"1,895,118",45
11787-0000,"1,895,151",42
95458-0000,"1,895,154",40
21214-0000,"1,895,245",82
54479-0000,"1,895,325",100
25625-0000,"1,895,403",75
13777-0000,"1,895,547",81
66725-0000,"1,895,629",10
75083-0000,"1,895,667",40
82435-0000,"1,895,731",58
24111-0000,"1,895,777",77
56754-0000,"1,895,794",90
30153-0000,"1,895,821",46
85671-0000,"1,895,823",20
70501-0000,"1,895,904",83
80305-0000,"1,895,931",36
50510-0000,"1,895,961",1
28023-0000,"1,895,963",37
44679-0000,"1,895,995",30
1944-0000,"1,896,012",40
14145-0000,"1,896,039",30
43056-0000,"1,896,052",65
22230-0000,"1,896,071",40
67550-0000,"1,896,121",32
19369-0000,"1,896,162",69
62842-0000,"1,896,190",15
22843-0000,"1,896,207",61
61038-0000,"1,896,250",72
67401-0000,"1,896,280",7
52648-0000,"1,896,360",97
98802-0000,"1,896,403",1
89003-0000,"1,896,432",96
85227-0000,"1,896,492",8
73601-0000,"1,896,505",59
75658-0000,"1,896,524",33
36003-0000,"1,896,672",17
85256-0000,"1,896,700",92
27103-0000,"1,896,728",62
87410-0000,"1,896,738",88
96055-0000,"1,896,795",44
15444-0000,"1,896,849",62
47874-0000,"1,896,896",95
49427-0000,"1,896,924",64
4758-0000,"1,896,925",81
54464-0000,"1,896,930",8
26178-0000,"1,896,953",43
15870-0000,"1,897,006",11
93255-0000,"1,897,074",79
99927-0000,"1,897,100",8
17004-0000,"1,897,105",22
93016-0000,"1,897,121",27
74355-0000,"1,897,156",15
32802-0000,"1,897,162",93
60174-0000,"1,897,247",91
67021-0000,"1,897,255",12
27202-0000,"1,897,331",74
12911-0000,"1,897,376",84
50367-0000,"1,897,409",12
12164-0000,"1,897,658",97
34106-0000,"1,897,784",3
53958-0000,"1,897,819",49
18848-0000,"1,897,849",43
84103-0000,"1,897,896",34
19892-0000,"1,897,898",51
29341-0000,"1,897,914",39
7501-0000,"1,898,104",77
26731-0000,"1,898,165",43
26884-0000,"1,898,167",45
82240-0000,"1,898,170",49
93446-0000,"1,898,197",16
77382-0000,"1,898,246",48
57429-0000,"1,898,283",33
72801-0000,"1,898,352",27
62030-0000,"1,898,384",35
97307-0000,"1,898,396",51
95153-0000,"1,898,406",15
40109-0000,"1,898,466",25
49204-0000,"1,898,480",45
47601-0000,"1,898,495",12
69028-0000,"1,898,502",2
13774-0000,"1,898,552",79
24115-0000,"1,898,697",31
38028-0000,"1,898,746",53
15465-0000,"1,898,769",73
58746-0000,"1,898,911",52
4429-0000,"1,898,978",51
93668-0000,"1,899,104",80
24747-0000,"1,899,149",45
27544-0000,"1,899,202",8
28277-0000,"1,899,203",81
38846-0000,"1,899,222",50
18462-0000,"1,899,244",17
62269-0000,"1,899,325",94
54743-0000,"1,899,330",97
34286-0000,"1,899,366",66
30072-0000,"1,899,382",60
93433-0000,"1,899,388",14
99103-0000,"1,899,443",31
33025-0000,"1,899,500",56
75063-0000,"1,899,613",58
17938-0000,"1,899,642",92
65636-0000,"1,899,675",6
29933-0000,"1,899,703",46
39082-0000,"1,899,783",26
45227-0000,"1,899,838",32
98908-0000,"1,899,845",40
94014-0000,"1,899,848",92
20176-0000,"1,900,093",20
17920-0000,"1,900,135",88
98572-0000,"1,900,246",66
55803-0000,"1,900,315",85
80229-0000,"1,900,346",88
97623-0000,"1,900,439",3
79843-0000,"1,900,495",56
63624-0000,"1,900,573",55
57105-0000,"1,900,623",56
96760-0000,"1,900,682",41
61602-0000,"1,900,724",75
37121-0000,"1,900,816",64
30457-0000,"1,900,835",26
73461-0000,"1,900,853",96
31555-0000,"1,900,904",96
56399-0000,"1,901,101",68
22172-0000,"1,901,129",72
25860-0000,"1,901,141",97
19939-0000,"1,901,220",39
28260-0000,"1,901,291",62
24581-0000,"1,901,333",52
91980-0000,"1,901,367",57
84028-0000,"1,901,455",3
22576-0000,"1,901,471",98
35261-0000,"1,901,551",28
89310-0000,"1,901,552",65
44412-0000,"1,901,621",13
55438-0000,"1,901,636",61
56050-0000,"1,901,677",64
95842-0000,"1,901,838",27
17739-0000,"1,901,857",87
19462-0000,"1,901,861",13
78130-0000,"1,901,929",58
24024-0000,"1,901,960",80
19048-0000,"1,901,971",51
77538-0000,"1,902,048",45
54812-0000,"1,902,107",79
32707-0000,"1,902,117",96
16373-0000,"1,902,120",17
31554-0000,"1,902,169",1
37028-0000,"1,902,194",9
45208-0000,"1,902,207",49
71438-0000,"1,902,228",100
97201-0000,"1,902,239",81
76068-0000,"1,902,352",63
64052-0000,"1,902,376",43
62056-0000,"1,902,381",5
64461-0000,"1,902,397",99
78727-0000,"1,902,411",19
8101-0000,"1,902,553",26
41262-0000,"1,902,573",2
51454-0000,"1,902,721",77
5839-0000,"1,902,733",100
53184-0000,"1,902,749",51
75181-0000,"1,902,868",35
54889-0000,"1,902,873",89
12765-0000,"1,902,914",87
30237-0000,"1,902,948",22
92518-0000,"1,903,007",10
91304-0000,"1,903,015",51
98133-0000,"1,903,018",70
54112-0000,"1,903,045",58
56333-0000,"1,903,124",49
29652-0000,"1,903,157",69
84722-0000,"1,903,187",38
43519-0000,"1,903,325",93
82640-0000,"1,903,466",3
62292-0000,"1,903,471",66
70723-0000,"1,903,529",39
49684-0000,"1,903,554",95
54556-0000,"1,903,589",77
50225-0000,"1,903,771",9
52776-0000,"1,903,816",90
40339-0000,"1,903,851",31
14207-0000,"1,903,875",7
77803-0000,"1,903,975",19
85078-0000,"1,904,048",26
51401-0000,"1,904,104",6
83334-0000,"1,904,114",71
56157-0000,"1,904,119",92
35745-0000,"1,904,149",94
35603-0000,"1,904,192",80
71280-0000,"1,904,234",61
87525-0000,"1,904,261",17
72619-0000,"1,904,298",32
44425-0000,"1,904,314",82
23285-0000,"1,904,321",79
2241-0000,"1,904,473",45
28075-0000,"1,904,617",83
3104-0000,"1,904,635",32
47174-0000,"1,904,675",97
60025-0000,"1,904,692",89
85191-0000,"1,904,793",75
32501-0000,"1,904,820",82
5748-0000,"1,904,895",55
20635-0000,"1,904,925",33
11935-0000,"1,904,941",89
85352-0000,"1,905,117",73
34692-0000,"1,905,144",79
29693-0000,"1,905,168",9
24121-0000,"1,905,184",20
19179-0000,"1,905,204",39
24171-0000,"1,905,207",43
60491-0000,"1,905,440",27
77968-0000,"1,905,444",71
4048-0000,"1,905,508",88
11366-0000,"1,905,566",99
87710-0000,"1,905,574",23
35184-0000,"1,905,648",15
23669-0000,"1,905,737",8
16692-0000,"1,905,776",45
70466-0000,"1,905,830",96
67023-0000,"1,905,963",12
31071-0000,"1,905,993",28
90240-0000,"1,906,078",39
59081-0000,"1,906,127",98
98540-0000,"1,906,155",14
20902-0000,"1,906,205",39
42721-0000,"1,906,212",81
58712-0000,"1,906,259",38
31011-0000,"1,906,260",49
74192-0000,"1,906,263",59
8829-0000,"1,906,354",29
39456-0000,"1,906,365",8
45041-0000,"1,906,463",19
38138-0000,"1,906,511",81
56581-0000,"1,906,524",13
57369-0000,"1,906,538",62
60443-0000,"1,906,585",85
99014-0000,"1,906,593",77
78769-0000,"1,906,623",82
85531-0000,"1,906,767",42
6487-0000,"1,906,777",63
4043-0000,"1,906,791",62
94074-0000,"1,906,803",95
44065-0000,"1,906,815",63
35254-0000,"1,906,852",47
72336-0000,"1,906,895",65
7068-0000,"1,906,898",81
37249-0000,"1,906,902",41
92250-0000,"1,906,904",61
73095-0000,"1,906,909",51
32562-0000,"1,906,918",73
10098-0000,"1,907,044",2
12024-0000,"1,907,046",12
35468-0000,"1,907,077",4
26146-0000,"1,907,128",91
78959-0000,"1,907,136",25
41754-0000,"1,907,170",80
27966-0000,"1,907,257",81
38076-0000,"1,907,346",68
72387-0000,"1,907,354",3
53583-0000,"1,907,595",21
30410-0000,"1,907,667",6
94550-0000,"1,907,733",31
72175-0000,"1,907,793",46
11732-0000,"1,907,813",4
44644-0000,"1,907,857",21
8015-0000,"1,908,176",62
50305-0000,"1,908,188",86
87723-0000,"1,908,196",63
83346-0000,"1,908,245",70
15647-0000,"1,908,261",87
13224-0000,"1,908,292",12
57013-0000,"1,908,355",50
68978-0000,"1,908,359",91
28623-0000,"1,908,396",76
32503-0000,"1,908,511",54
32139-0000,"1,908,536",45
56244-0000,"1,908,551",94
50005-0000,"1,908,620",26
61530-0000,"1,908,635",14
28335-0000,"1,908,659",85
89415-0000,"1,908,690",54
8247-0000,"1,908,803",98
61519-0000,"1,908,831",24
70663-0000,"1,908,850",55
73663-0000,"1,908,901",89
52560-0000,"1,908,979",92
65059-0000,"1,908,999",38
80551-0000,"1,909,071",60
59926-0000,"1,909,081",66
41171-0000,"1,909,139",1
22911-0000,"1,909,193",67
47631-0000,"1,909,230",9
84779-0000,"1,909,275",99
47118-0000,"1,909,300",82
31739-0000,"1,909,357",38
96127-0000,"1,909,397",25
8833-0000,"1,909,439",49
8244-0000,"1,909,454",83
77496-0000,"1,909,454",31
69032-0000,"1,909,519",97
71229-0000,"1,909,617",48
3251-0000,"1,909,636",20
38855-0000,"1,909,659",98
95945-0000,"1,909,668",86
45372-0000,"1,909,682",23
69037-0000,"1,909,781",42
68366-0000,"1,909,865",58
33424-0000,"1,909,889",16
48334-0000,"1,909,988",71
46392-0000,"1,910,014",68
77090-0000,"1,910,292",9
19128-0000,"1,910,299",26
70175-0000,"1,910,299",20
48670-0000,"1,910,302",86
23398-0000,"1,910,338",81
81334-0000,"1,910,345",92
47514-0000,"1,910,436",97
29702-0000,"1,910,458",71
52404-0000,"1,910,458",29
11239-0000,"1,910,488",65
97604-0000,"1,910,504",85
43315-0000,"1,910,508",13
45273-0000,"1,910,544",10
57631-0000,"1,910,576",90
86331-0000,"1,910,619",70
90638-0000,"1,910,792",8
19014-0000,"1,910,821",49
52324-0000,"1,910,841",40
78673-0000,"1,910,866",26
22435-0000,"1,910,887",81
44102-0000,"1,910,933",60
79085-0000,"1,911,007",1
20555-0000,"1,911,013",11
51570-0000,"1,911,100",65
76633-0000,"1,911,140",64
49239-0000,"1,911,179",70
97374-0000,"1,911,204",72
79409-0000,"1,911,293",7
37866-0000,"1,911,416",47
82717-0000,"1,911,489",89
2891-0000,"1,911,494",19
43082-0000,"1,911,530",83
62431-0000,"1,911,615",55
50623-0000,"1,911,657",39
50141-0000,"1,911,684",19
6901-0000,"1,911,831",88
60078-0000,"1,911,849",81
76469-0000,"1,911,849",93
5491-0000,"1,911,857",27
75185-0000,"1,911,937",63
32668-0000,"1,911,939",63
78284-0000,"1,911,942",46
83547-0000,"1,911,971",38
95303-0000,"1,912,082",49
11411-0000,"1,912,087",93
68434-0000,"1,912,117",5
4473-0000,"1,912,248",72
34986-0000,"1,912,263",32
46345-0000,"1,912,305",50
72940-0000,"1,912,392",41
47549-0000,"1,912,406",36
10928-0000,"1,912,416",100
67428-0000,"1,912,430",35
27569-0000,"1,912,580",34
48004-0000,"1,912,724",58
27888-0000,"1,912,744",50
93401-0000,"1,912,856",26
17121-0000,"1,912,887",56
85737-0000,"1,912,977",67
77002-0000,"1,912,982",90
15612-0000,"1,913,002",27
98520-0000,"1,913,100",1
17702-0000,"1,913,194",48
20689-0000,"1,913,236",87
39505-0000,"1,913,250",82
66742-0000,"1,913,278",7
27046-0000,"1,913,296",85
63629-0000,"1,913,302",57
